Date,Days,Confirmed,Active,Recovered,Dead,total_vaccinations,people_vaccinated,people_fully_vaccinated,Detected,Severe,Critical
12/03/2020,0,2,2,0,0,,,,2,0,0
13/03/2020,1,2,2,0,0,,,,2,0,0
14/03/2020,2,2,2,0,0,,,,2,0,0
15/03/2020,3,2,2,0,0,,,,2,0,0
16/03/2020,4,6,6,0,0,,,,6,0,0
17/03/2020,5,7,7,0,0,,,,7,0,0
18/03/2020,6,9,9,0,0,,,,9,0,0
19/03/2020,7,11,11,0,0,,,,11,0,0
20/03/2020,8,16,16,0,0,,,,16,0,0
21/03/2020,9,21,20,0,1,,,,20,0,0
22/03/2020,10,24,23,0,1,,,,23,0,0
23/03/2020,11,27,25,0,2,,,,25,0,0
24/03/2020,12,53,51,0,2,,,,51,0,0
25/03/2020,13,68,66,0,2,,,,66,0,0
26/03/2020,14,119,116,0,3,,,,116,0,0
27/03/2020,15,128,122,2,4,,,,122,0,0
28/03/2020,16,141,135,2,4,,,,135,0,0
29/03/2020,17,152,145,2,5,,,,145,0,0
30/03/2020,18,152,145,2,5,,,,145,0,0
31/03/2020,19,161,153,3,5,,,,153,0,0
01/04/2020,20,195,187,3,5,,,,187,0,0
02/04/2020,21,204,196,3,5,,,,196,0,0
03/04/2020,22,205,197,3,5,,,,197,0,0
04/04/2020,23,214,206,3,5,,,,206,0,0
05/04/2020,24,214,206,3,5,,,,206,0,0
06/04/2020,25,287,279,3,5,,,,279,0,0
07/04/2020,26,313,304,3,6,,,,304,0,0
08/04/2020,27,313,304,3,6,,,,304,0,0
09/04/2020,28,378,368,4,6,,,,366,0,2
10/04/2020,29,408,396,4,8,,,,394,2,0
11/04/2020,30,566,554,4,8,,,,552,2,0
12/04/2020,31,566,554,4,8,,,,552,2,0
13/04/2020,32,566,554,4,8,,,,552,2,0
14/04/2020,33,636,611,17,8,,,,609,2,0
15/04/2020,34,641,550,83,8,,,,548,2,0
16/04/2020,35,641,550,83,8,,,,548,2,0
17/04/2020,36,641,550,83,8,,,,548,2,0
18/04/2020,37,834,743,83,8,,,,741,2,0
19/04/2020,38,1042,951,83,8,,,,949,2,0
20/04/2020,39,1042,951,83,8,,,,949,2,0
21/04/2020,40,1042,951,83,8,,,,949,2,0
22/04/2020,41,1279,1135,134,10,,,,1131,4,0
23/04/2020,42,1279,1135,134,10,,,,1131,4,0
24/04/2020,43,1279,1135,134,10,,,,1131,4,0
25/04/2020,44,1550,1384,155,11,,,,1378,6,0
26/04/2020,45,1550,1384,155,11,,,,1378,6,0
27/04/2020,46,1671,1467,188,16,,,,1461,6,0
28/04/2020,47,2074,1845,212,17,,,,1839,6,0
29/04/2020,48,2074,1845,212,17,,,,1839,6,0
30/04/2020,49,2074,1845,212,17,,,,1839,6,0
01/05/2020,50,2169,1922,229,18,,,,1916,6,0
02/05/2020,51,2719,2407,294,18,,,,2402,5,0
03/05/2020,52,2719,2407,294,18,,,,2402,5,0
04/05/2020,53,3091,2770,303,18,,,,2765,5,0
05/05/2020,54,3091,2770,303,18,,,,2765,5,0
06/05/2020,55,3091,2770,303,18,,,,2765,5,0
07/05/2020,56,4012,3671,323,18,,,,3663,8,0
08/05/2020,57,4263,3863,378,22,,,,3858,5,0
09/05/2020,58,4263,3863,378,22,,,,3858,5,0
10/05/2020,59,4700,4184,494,22,,,,4179,5,0
11/05/2020,60,5127,4611,494,22,,,,4606,5,0
12/05/2020,61,5127,4611,494,22,,,,4606,5,0
13/05/2020,62,5530,4833,674,24,,,,4828,5,0
14/05/2020,63,5638,4150,1460,28,,,,4142,8,0
15/05/2020,64,5735,3952,1754,29,,,,3947,5,0
16/05/2020,65,5735,3952,1754,29,,,,3947,5,0
17/05/2020,66,5918,4133,1754,31,,,,4128,5,0
18/05/2020,67,6096,4292,1773,31,,,,4284,8,0
