Date,Days,Tests_per_day,Cumulative_Tests,New_cases,Total_Infected,Daily_Recovered,Total_Recovered,Daily_Deaths,Total_Deaths,Active_Cases,No_of_Doses_daily,Total_Vaccine_Doses,Fully_Vaccinated,Total_Vaccinated,Fration_Fully_Vaccinated,Fration_Total_Vaccinated,Days1,,,,,,,,,,,,,,,,
12-Mar,0,,,1,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
15-Mar,2,,,4,5,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,
16-Mar,3,,,2,7,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,
18/03,5,,,4,11,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,
23-Mar,11,,,4,15,0,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,
24/,12,,,1,16,0,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,
25/,13,,,9,25,0,0,0,0,25,,,,,,,,,,,,,,,,,,,,,,,
27-Mar,15,,,0,25,-5,0,1,1,29,,,,,,,,,,,,,,,,,,,,,,,
30-Mar,18,,,13,42,1,1,0,1,40,,,,,,,,,,,,,,,,,,,,,,,
31-Mar,19,,,12,50,0,1,0,1,48,,,,,,,,,,,,,,,,,,,,,,,
1-Apr,20,,,9,59,0,1,0,1,57,,,,,,,,,,,,,,,,,,,,,,,
2-Apr,21,,,22,81,2,3,0,1,77,,,,,,,,,,,,,,,,,,,,,,,
3-Apr,22,,,29,110,1,4,2,3,103,,,,,,,,,,,,,,,,,,,,,,,
4-Apr,23,,,12,122,0,4,1,4,114,,,,,,,,,,,,,,,,,,,,,,,
5-Apr,24,,,4,126,0,4,0,4,118,,,,,,,,,,,,,,,,,,,,,,,
6-Apr,25,,,20,142,0,4,0,4,134,,,,,,,,,,,,,,,,,,,,,,,
7-Apr,26,,,16,158,2,6,0,4,148,,,,,,,,,,,,,,,,,,,,,,,
8-Apr,27,,,30,172,1,7,2,6,159,,,,,,,,,,,,,,,,,,,,,,,
9-Apr,28,,,7,179,2,9,0,6,164,,,,,,,,,,,,,,,,,,,,,,,
10-Apr,29,,,5,184,3,12,1,7,165,,,,,,,,,,,,,,,,,,,,,,,
11-Apr,30,,,5,189,10,22,0,7,160,,,,,,,,,,,,,,,,,,,,,,,
12-Apr,31,,,2,191,2,24,0,7,160,,,,,,,,,,,,,,,,,,,,,,,
13-Apr,32,,,6,197,1,25,1,8,164,,,,,,,,,,,,,,,,,,,,,,,
14-Apr,33,,,11,208,15,40,1,9,159,,,,,,,,,,,,,,,,,,,,,,,
15-Apr,34,,,8,216,1,41,0,9,166,,,,,,,,,,,,,,,,,,,,,,,
16-Apr,35,,,9,225,12,53,1,10,162,,,,,,,,,,,,,,,,,,,,,,,
17-Apr,36,,,9,234,0,53,1,11,170,,,,,,,,,,,,,,,,,,,,,,,
18-Apr,37,,,12,246,0,53,0,11,182,,,,,,,,,,,,,,,,,,,,,,,
19-Apr,38,,,16,262,7,60,1,12,190,,,,,,,,,,,,,,,,,,,,,,,
20-Apr,39,,,8,270,7,67,2,14,189,,,,,,,,,,,,,,,,,,,,,,,
21-Apr,40,,,11,281,2,69,0,14,198,,,,,,,,,,,,,,,,,,,,,,,
22-Apr,41,,,15,296,5,74,0,14,208,,,,,,,,,,,,,,,,,,,,,,,
23-Apr,42,,,7,303,0,74,0,14,215,,,,,,,,,,,,,,,,,,,,,,,
24-Apr,43,,,17,320,15,89,0,14,217,,,,,,,,,,,,,,,,,,,,,,,
25-Apr,44,,,16,336,5,94,0,14,228,,,,,,,,,,,,,,,,,,,,,,,
26-Apr,45,,,7,343,4,98,0,14,231,,,,,,,,,,,,,,,,,,,,,,,
27-Apr,46,,,12,355,8,106,0,14,235,,,,,,,,,,,,,,,,,,,,,,,
28-Apr,47,,,8,363,8,114,0,14,235,,,,,,,,,,,,,,,,,,,,,,,
29-Apr,48,,,11,374,10,124,0,14,236,,,,,,,,,,,,,,,,,,,,,,,
30-Apr,49,,,10,384,5,129,1,15,240,,,,,,,,,,,,,,,,,,,,,,,
1-May,50,,,12,396,15,144,2,17,235,,,,,,,,,,,,,,,,,,,,,,,
2-May,51,1434,21702,15,411,6,150,4,21,240,,,,,,,,,,,,,,,,,,,,,,,
3-May,52,,,24,435,2,152,1,22,261,,,,,,,,,,,,,,,,,,,,,,,
4-May,53,,,31,466,16,168,2,24,274,,,,,,,,,,,,,,,,,,,,,,,
5-May,54,,,24,490,5,173,0,24,293,,,,,,,,,,,,,,,,,,,,,,,
6-May,55,,,45,535,7,180,2,26,329,,,,,,,,,,,,,,,,,,,,,,,
7-May,56,,,47,582,10,190,0,26,366,,,,,,,,,,,,,,,,,,,,,,,
8-May,57,,,25,607,7,197,3,29,381,,,,,,,,,,,,,,,,,,,,,,,
9-May,58,,,14,621,5,202,0,29,390,,,,,,,,,,,,,,,,,,,,,,,
10-May,59,,,28,649,5,207,1,30,412,,,,,,,,,,,,,,,,,,,,,,,
11-May,60,,,23,672,32,239,2,32,401,,,,,,,,,,,,,,,,,,,,,,,
12-May,61,,,28,700,12,251,1,33,416,,,,,,,,,,,,,,,,,,,,,,,
13-May,62,,,15,715,8,259,3,36,420,,,,,,,,,,,,,,,,,,,,,,,
14-May,63,,,22,737,22,281,4,40,416,,,,,,,,,,,,,,,,,,,,,,,
15-May,64,,,21,758,3,284,2,42,432,,,,,,,,,,,,,,,,,,,,,,,
16-May,65,,,23,781,-1,283,4,46,452,,,,,,,,,,,,,,,,,,,,,,,
17-May,66,,,49,830,18,301,4,50,479,,,,,,,,,,,,,,,,,,,,,,,
18-May,67,,,57,887,12,313,0,50,524,,,,,,,,,,,,,,,,,,,,,,,
19-May,68,,,25,912,23,336,0,50,526,,,,,,,,,,,,,,,,,,,,,,,
20-May,69,1933,46784,51,963,22,358,0,50,555,,,,,,,,,,,,,,,,,,,,,,,
21-May,70,,,66,1029,8,366,0,50,613,,,,,,,,,,,,,,,,,,,,,,,
22-May,71,,,80,1109,9,375,0,50,684,,,,,,,,,,,,,,,,,,,,,,,
23-May,72,,,52,1161,5,380,0,50,731,,,,,,,,,,,,,,,,,,,,,,,
24-May,73,,,31,1192,0,380,0,50,762,,,,,,,,,,,,,,,,,,,,,,,
25-May,74,,,22,1214,3,383,1,51,780,,,,,,,,,,,,,,,,,,,,,,,
26-May,75,,,72,1286,19,402,1,52,832,,,,,,,,,,,,,,,,,,,,,,,
27-May,76,,,62,1348,3,405,0,52,891,,,,,,,,,,,,,,,,,,,,,,,
28-May,77,,,123,1471,3,408,3,55,1008,,,,,,,,,,,,,,,,,,,,,,,
29-May,78,,,147,1618,13,421,3,58,1139,,,,,,,,,,,,,,,,,,,,,,,
30-May,79,,,127,1745,17,438,4,62,1245,,,,,,,,,,,,,,,,,,,,,,,
31-May,80,,,143,1888,26,464,1,63,1361,,,,,,,,,,,,,,,,,,,,,,,
1-Jun,81,,,74,1962,14,478,1,64,1420,,,,,,,,,,,,,,,,,,,,,,,
2-Jun,82,,,59,2021,4,482,5,69,1470,,,,,,,,,,,,,,,,,,,,,,,
3-Jun,83,2892,82946,72,2093,17,499,2,71,1523,,,,,,,,,,,,,,,,,,,,,,,
4-Jun,84,2112,85058,123,2216,54,553,3,74,1589,,,,,,,,,,,,,,,,,,,,,,,
5-Jun,85,2640,87698,124,2340,39,592,4,78,1670,,,,,,,,,,,,,,,,,,,,,,,
6-Jun,86,,,134,2474,51,643,1,79,1752,,,,,,,,,,,,,,,,,,,,,,,
7-Jun,87,3632,94507,126,2600,63,706,4,83,1811,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,88,2833,97340,167,2767,46,752,1,84,1931,,,,,,,,,,,,,,,,,,,,,,,
9-Jun,89,1096,98436,95,2862,97,849,1,85,1928,,,,,,,,,,,,,,,,,,,,,,,
10-Jun,90,2247,100683,127,2989,24,873,3,88,2028,,,,,,,,,,,,,,,,,,,,,,,
11-Jun,91,2273,102956,105,3094,175,1048,1,89,1957,,,,,,,,,,,,,,,,,,,,,,,
12-Jun,92,,,121,3215,44,1092,3,92,2031,,,,,,,,,,,,,,,,,,,,,,,
13-Jun,93,2419,108666,90,3305,72,1164,4,96,2045,,,,,,,,,,,,,,,,,,,,,,,
14-Jun,94,3503,112169,152,3457,57,1221,4,100,2136,,,,,,,,,,,,,,,,,,,,,,,
15-Jun,95,3167,115336,137,3594,32,1253,3,103,2238,,,,,,,,,,,,,,,,,,,,,,,
16-Jun,96,3365,118701,133,3727,33,1286,1,104,2337,,,,,,,,,,,,,,,,,,,,,,,
17-Jun,97,3255,121956,133,3860,40,1326,1,105,2429,,,,,,,,,,,,,,,,,,,,,,,
18-Jun,98,2518,124474,184,4044,27,1353,2,107,2584,,,,,,,,,,,,,,,,,,,,,,,
19-Jun,99,6024,130498,213,4257,106,1459,10,117,2681,,,,,,,,,,,,,,,,,,,,,,,
20-Jun,100,,,117,4374,91,1550,2,119,2705,,,,,,,,,,,,,,,,,,,,,,,
21-Jun,101,2820,136361,104,4478,36,1586,2,121,2771,,,,,,,,,,,,,,,,,,,,,,,
22-Jun,102,3651,140012,260,4738,21,1607,2,123,3008,,,,,,,,,,,,,,,,,,,,,,,
23-Jun,103,,,59,4797,73,1680,2,125,2992,,,,,,,,,,,,,,,,,,,,,,,
24-Jun,104,,146537,155,4952,102,1782,3,128,3042,,,,,,,,,,,,,,,,,,,,,,,
25-Jun,105,,,254,5206,41,1823,2,130,3253,,,,,,,,,,,,,,,,,,,,,,,
26-Jun,106,3918,155314,178,5384,34,1857,2,132,3395,,,,,,,,,,,,,,,,,,,,,,,
27-Jun,107,3090,158404,149,5533,48,1905,5,137,3491,,,,,,,,,,,,,,,,,,,,,,,
28-Jun,108,4074,162478,278,5811,31,1936,4,141,3734,,,,,,,,,,,,,,,,,,,,,,,
29-Jun,109,,,259,6070,34,1970,3,144,3956,,,,,,,,,,,,,,,,,,,,,,,
30-Jun,110,2221,167417,120,6190,43,2013,0,144,4033,,,,,,,,,,,,,,,,,,,,,,,
1-Jul,111,2419,169836,176,6366,26,2039,4,148,4179,,,,,,,,,,,,,,,,,,,,,,,
2-Jul,112,3519,173355,307,6673,50,2089,1,149,4435,,,,,,,,,,,,,,,,,,,,,,,
3-Jul,113,2704,176059,268,6941,20,2109,3,152,4680,,,,,,,,,,,,,,,,,,,,,,,
4-Jul,114,4147,180206,247,7188,39,2148,2,154,4886,,,,,,,,,,,,,,,,,,,,,,,
5-Jul,115,4829,185035,389,7577,88,2236,5,159,5182,,,,,,,,,,,,,,,,,,,,,,,
