Date,Days,Tests_per_day,Cumulative_Tests,New_cases,Total_Infected,Daily_Recovered,Total_Recovered,Daily_Deaths,Total_Deaths,Active_Cases
12/March,0,,,1,1,0,0,0,0,1
15/March,2,,,4,5,0,0,0,0,5
16/March,3,,,2,7,0,0,0,0,7
18/03,5,,,4,11,0,0,0,0,11
23/march,11,,,4,15,0,0,0,0,15
24/,12,,,1,16,0,0,0,0,16
25/,13,,,9,25,0,0,0,0,25
27/march,15,,,0,25,-5,0,1,1,29
30/March,18,,,13,42,1,1,0,1,40
31/march,19,,,12,50,0,1,0,1,48
01/April,20,,,9,59,0,1,0,1,57
02/April,21,,,22,81,2,3,0,1,77
03/April,22,,,29,110,1,4,2,3,103
04/April,23,,,12,122,0,4,1,4,114
05/April,24,,,4,126,0,4,0,4,118
06/April,25,,,20,142,0,4,0,4,134
07/April,26,,,16,158,2,6,0,4,148
08/April,27,,,30,172,1,7,2,6,159
09/April,28,,,7,179,2,9,0,6,164
10/April,29,,,5,184,3,12,1,7,165
11/April,30,,,5,189,10,22,0,7,160
12/April,31,,,2,191,2,24,0,7,160
13/April,32,,,6,197,1,25,1,8,164
14/April,33,,,11,208,15,40,1,9,159
15/April,34,,,8,216,1,41,0,9,166
16/April,35,,,9,225,12,53,1,10,162
17/April,36,,,9,234,0,53,1,11,170
18/April,37,,,12,246,0,53,0,11,182
19/April,38,,,16,262,7,60,1,12,190
20/April,39,,,8,270,7,67,2,14,189
21/April,40,,,11,281,2,69,0,14,198
22/April,41,,,15,296,5,74,0,14,208
23/April,42,,,7,303,0,74,0,14,215
24/April,43,,,17,320,15,89,0,14,217
25/April,44,,,16,336,5,94,0,14,228
26/April,45,,,7,343,4,98,0,14,231
27/April,46,,,12,355,8,106,0,14,235
28/April,47,,,8,363,8,114,0,14,235
29/April,48,,,11,374,10,124,0,14,236
30/April,49,,,10,384,5,129,1,15,240
1/May,50,,,12,396,15,144,2,17,235
2/May,51,1434,21702,15,411,6,150,4,21,240
3/May,52,,,24,435,2,152,1,22,261
4/May,53,,,31,466,16,168,2,24,274
5/May,54,,,24,490,5,173,0,24,293
6/May,55,,,45,535,7,180,2,26,329
7/May,56,,,47,582,10,190,0,26,366
8/May,57,,,25,607,7,197,3,29,381
9/May,58,,,14,621,5,202,0,29,390
10/May,59,,,28,649,5,207,1,30,412
11/May,60,,,23,672,32,239,2,32,401
12/May,61,,,28,700,12,251,1,33,416
13/May,62,,,15,715,8,259,3,36,420
14/May,63,,,22,737,22,281,4,40,416
15/May,64,,,21,758,3,284,2,42,432
16/May,65,,,23,781,-1,283,4,46,452
17/May,66,,,49,830,18,301,4,50,479
18/May,67,,,57,887,12,313,0,50,524
19/May,68,,,25,912,23,336,0,50,526
20/May,69,1933,46784,51,963,22,358,0,50,555
21/May,70,,,66,1029,8,366,0,50,613
22/May,71,,,80,1109,9,375,0,50,684
23/May,72,,,52,1161,5,380,0,50,731
24/May,73,,,31,1192,0,380,0,50,762
25/May,74,,,22,1214,3,383,1,51,780
26/May,75,,,72,1286,19,402,1,52,832
27/May,76,,,62,1348,3,405,0,52,891
28/May,77,,,123,1471,3,408,3,55,1008
29/May,78,,,147,1618,13,421,3,58,1139
30/May,79,,,127,1745,17,438,4,62,1245
31/May,80,,,143,1888,26,464,1,63,1361
01/June,81,,,74,1962,14,478,1,64,1420
02/June,82,,,59,2021,4,482,5,69,1470
03/June,83,2892,82946,72,2093,17,499,2,71,1523
04/June,84,2112,85058,123,2216,54,553,3,74,1589
05/June,85,2640,87698,124,2340,39,592,4,78,1670
06/June,86,,,134,2474,51,643,1,79,1752
07/June,87,3632,94507,126,2600,63,706,4,83,1811
08/June,88,2833,97340,167,2767,46,752,1,84,1931
09/June,89,1096,98436,95,2862,97,849,1,85,1928
10/June,90,2247,100683,127,2989,24,873,3,88,2028
11/June,91,2273,102956,105,3094,175,1048,1,89,1957
12/June,92,,,121,3215,44,1092,3,92,2031
13/June,93,2419,108666,90,3305,72,1164,4,96,2045
14/June,94,3503,112169,152,3457,57,1221,4,100,2136
15/June,95,3167,115336,137,3594,32,1253,3,103,2238
16/June,96,3365,118701,133,3727,33,1286,1,104,2337
17/June,97,3255,121956,133,3860,40,1326,1,105,2429
18/June,98,2518,124474,184,4044,27,1353,2,107,2584
19/June,99,6024,130498,213,4257,106,1459,10,117,2681
20/June,100,,,117,4374,91,1550,2,119,2705
21/June,101,2820,136361,104,4478,36,1586,2,121,2771
22/June,102,3651,140012,260,4738,21,1607,2,123,3008
23/June,103,,,59,4797,73,1680,2,125,2992
24/June,104,,146537,155,4952,102,1782,3,128,3042
25/June,105,,,254,5206,41,1823,2,130,3253
26/June,106,3918,155314,178,5384,34,1857,2,132,3395
27/June,107,3090,158404,149,5533,48,1905,5,137,3491
28/June,108,4074,162478,278,5811,31,1936,4,141,3734
29/June,109,,,259,6070,34,1970,3,144,3956
30/June,110,2221,167417,120,6190,43,2013,0,144,4033
01/July,111,2419,169836,176,6366,26,2039,4,148,4179
02/July,112,3519,173355,307,6673,50,2089,1,149,4435
03/July,113,2704,176059,268,6941,20,2109,3,152,4680
04/July,114,4147,180206,247,7188,39,2148,2,154,4886
05/July,115,4829,185035,389,7577,88,2236,5,159,5182
06/July,116,,,309,7886,51,2287,1,160,5439
07/July,117,2131,191394,181,8067,127,2414,4,164,5489
08/July,118,,,183,8250,90,2504,3,167,5579
09/July,119,3053,196508,278,8528,89,2593,2,169,5766
10/July,120,,,447,8975,64,2657,4,173,6145
11/July,121,6979,206584,473,9448,76,2733,8,181,6534
12/July,122,1403,207987,278,9726,99,2832,3,184,6710
13/July,123,,214966,379,10105,49,2881,1,185,7039
14/July,124,6979,216242,189,10294,65,2946,12,197,7151
15/July,125,4992,221234,497,10791,71,3017,5,202,7572
16/July,126,4261,225495,461,11252,51,3068,7,209,7975
17/July,127,,,421,11673,570,3638,8,217,7818
18/July,128,3545,228674,389,12062,345,3983,5,222,7857
19/July,129,,,688,12750,545,4528,3,225,7997
20/July,130,5724,238920,603,13353,704,5232,9,234,7887
21/July,131,2474,241394,418,13771,384,5616,4,238,7917
22/July,132,,,397,14168,642,6258,12,250,7660
23/July,133,4275,249306,637,14805,499,6757,10,260,7788
24/July,134,6754,256060,796,15601,378,7135,3,263,8203
25/July,135,,256060,667,16268,311,7446,11,274,8548
26/July,136,2052,263187,375,16643,128,7574,4,278,8791
27/July,137,8261,264974,892,17535,101,7675,2,280,9580
28/July,138,3197,268171,440,17975,158,7833,5,285,9857
29/July,139,,,606,18581,75,7908,14,299,10374
30/July,140,,,544,19125,113,8021,12,311,10793
31/July,141,,,788,19913,100,8121,14,325,11467
01/August,142,,,723,20636,44,8165,16,341,12130
02/August,143,,,727,21363,254,8419,23,364,12580
03/August,144,,,690,22053,58,8477,5,369,13207
04/August,145,,,544,22597,263,8740,13,382,13475
05/August,146,,,605,23202,587,9327,6,388,13487
06/August,147,,,671,23873,603,9930,3,391,13552
07/August,148,,,538,24411,514,10444,8,399,13568
08/August,149,,,727,25138,674,11118,14,413,13607
09/August,150,,,699,25837,781,11899,5,418,13520
10/August,151,,,599,26436,1062,12961,2,420,13055
11/August,152,,,492,26928,534,13495,3,423,13010
12/August,153,,,497,27425,372,13867,15,438,13120
13/August,154,,,679,28104,743,14610,18,456,13038
14/August,155,,,650,28754,490,15100,4,460,13194
15/August,156,,,580,29334,198,15298,5,465,13571
16/August,157,,,515,29849,672,15970,7,472,13407
17/August,158,,,271,30120,686,16656,2,474,12990
18/August,159,,,245,30365,504,17160,8,482,12723
19/August,160,,,271,30636,208,17368,5,487,12781
20/August,161,,,379,31015,244,17612,19,506,12897
21/August,162,,,426,31441,257,17869,10,516,13056
22/August,163,,,322,31763,288,18157,16,532,13074
23/August,164,,,355,32118,296,18453,10,542,13123
24/August,165,,,246,32364,217,18670,6,548,13146
25/August,166,,,193,32557,225,18895,6,554,13108
26/August,167,,,246,32803,160,19055,6,560,13189
27/August,168,,,213,33016,241,19296,4,564,13156
28/August,169,,,373,33389,72,19368,3,567,13454
29/August,170,,,241,33630,66,19434,0,567,13629
30/August,171,,,164,33794,156,19590,5,572,13632
31/August,172,,,263,34057,98,19688,2,574,13795
01/September,173,,,144,34201,205,19893,3,577,13731
02/September,174,,,114,34315,318,20211,0,577,13527
03/September,175,,,178,34493,0,20211,4,581,13701
04/September,176,,,212,34705,433,20644,4,585,13476
05/September,177,,,179,34884,415,21059,4,589,13236
06/September,178,,,136,35020,99,21158,5,594,13268
07/September,179,,,83,35103,72,21230,3,579,13276
08/September,180,,,102,35205,80,21310,2,599,13296
09/September,181,,,151,35356,173,21483,0,599,13274
10/September,182,,,104,35460,74,21557,8,607,13296
11/September,183,,,143,35603,490,22047,5,612,12944
12/September,184,,,190,35793,395,22442,4,616,12735
13/September,185,,,170,35963,329,22771,3,619,12579
14/September,186,,,194,36157,296,23067,3,622,12468
15/September,187,,,48,36205,176,23243,2,624,12338
16/September,188,,,,36301,,23364,,634,12303
17/September,189,,,,36393,,23529,,637,12227
18/September,190,,,,36576,,23611,,642,12323
19/September,191,,,,36724,,23709,,646,12369
20/September,192,,,,36829,,23777,,646,12406
21/September,193,,,,36981,,23887,,648,12446
22/September,194,,,,37079,,23949,,650,12480
23/September,195,,,,37218,,24147,,659,12412
24/September,196,,,,37348,,24253,,664,12431
25/September,197,,,,37489,,24334,,669,12486
26/September,198,,,,37707,,24504,,682,12521
27/September,199,,,,37871,,24581,,689,12601
28/September,200,,,,38115,,24621,,691,12803
29/September,201,,,,38168,,24681,,700,12787
30/September,202,,,,38378,,24740,,707,12931
01/October,203,,,,38529,,24908,,711,12910
02/October,204,,,,38713,,25023,,718,12972
03/October,205,,,,38923,,25114,,725,13084
04/October,206,,,,39184,,25426,,728,13030
05/October,207,,,,39427,,25659,,731,13037
06/October,208,,,,39449,,27035,,735,11679
07/October,209,,,,39586,,27331,,743,11512
08/October,210,,,,39907,,30659,,748,8500
09/October,211,,,,40178,,30710,,751,8717
10/October,212,,,,40620,,30876,,755,8989
11/October,213,,,,41158,,30937,,760,9461
12/October,214,,,,41546,,31097,,766,9683
13/October,215,,,,41619,,32000,,777,8842
14/October,216,,,,41937,,31340,,787,9810
15/October,217,,,,42541,,31428,,797,10316
16/October,218,,,,43143,,31508,,805,10830
17/October,219,,,,43580,,31648,,813,11119
18/October,220,,,,44196,,31752,,825,11619
19/October,221,,,,44881,,31857,,832,12192
20/October,222,,,,45076,,32084,,839,12153
21/October,223,,,,45647,,32522,,842,12283
22/October,224,,,,46144,,32760,,858,12526
23/October,225,,,,47212,,33050,,870,13292
24/October,226,,,,47843,,33421,,884,13538
