report_date,daily,vaccinated,cumulative_completely_dosage,dosage,phase,vaccine type,Obs1,Obs2,Days,Fration_vaccinated,Fration_cumulative_completely_dosage,Days1,Booster,Booster_Ration,Days2,Goodness_vaacine,439913,,Goodness-original,,good
20210313,,46439,0,1,1,,,Profissionais de Saúde,5,1.60E-03,0,354,,,,0,462759,,0,,0
20210322,,57305,0,1,1,,,Profissionais de Saúde + actores ligados ao Sector da Saúde ....,14,0.001976034,0,363,,,,0,467969,,0,,0
20210805,58115,507050,439913,,,,,,150,0.017484483,0.015169414,499,,,,0,478487,,0,,0
20210806,97921,676903,462759,,,,,,151,2.33E-02,0.015957207,500,,,,0,485264,,0,,0
20210807,97327,727096,467969,,,,,,152,0.025072276,0.016136862,501,,,,0,498634,,0,,0
20210808,61667,783492,478487,,,,,,153,0.027016966,0.016499552,502,,,,0,514083,,0,,0
20210809,45305,826467,485264,,,,,,154,2.85E-02,0.016733241,503,,,,0,529117,,0,,0
20210810,111778,946713,498634,,,,,,155,0.032645276,0.017194276,504,,,,0,554189,,0,,0
20210811,109029,1057185,514083,,,,,,156,0.036454655,0.017727,505,,,,0,560798,,0,,0
20210812,112689,1169972,529117,,,,,,157,0.040343862,0.018245414,506,,,,0,571386,,0,,0
20210813,118721,1290960,554189,,,,,,158,0.044515862,0.019109966,507,,,,0,577248,,0,,0
20210814,106195,1401590,560798,,,,,,159,0.04833069,0.019337862,508,,,,0,604488,,0,,0
20210815,72089,1487560,571386,,,,,,160,0.051295172,0.019702966,509,,,,0,627382,,0,,0
20210816,39275,1533797,577248,,,,,,161,0.052889552,0.019905103,510,,,,0,656629,,0,,0
20210817,107082,1642919,604488,,,,,,162,0.056652379,0.020844414,511,,,,0,0,,0,,0
20210818,104157,1750872,627382,,,,,,163,0.060374897,0.021633862,512,,,,0,0,,0,,0
20210819,110650,1864229,656629,,,,,,164,0.064283759,0.022642379,513,,,,0,0,,0,,0
20210830,27802,1864229,910308,2,,verocel,,,175,0.064283759,0.031389931,524,,,,0,0,,0,,0
20210831,78902,1864229,994861,2,,verocel,,,176,0.064283759,0.034305552,525,,,,0,0,,0,,0
20210901,77444,1864229,1076968,2,3,verocel,,,177,0.064283759,0.037136828,526,,,,0,0,,0,,0
20210902,84384,1864229,1166168,2,,verocel,,,178,0.064283759,0.04021269,527,,,,0,0,,0,,0
20210903,85711,1864229,1252678,2,,verocel,,,179,0.064283759,0.043195793,528,,,,0,0,,0,,0
20210904,74308,1864229,1327040,2,,verocel,,,180,0.064283759,0.04576,529,,,,0,0,,0,,0
20210905,52235,1864229,1385098,2,,verocel,,,181,0.064283759,0.047762,530,,,,0,0,,0,,0
20210906,30422,1864229,1418999,2,,verocel,,,182,0.064283759,0.048931,531,,,,0,910308,,0,,0
20210907,77188,1864229,1500079,2,,verocel,,,183,0.064283759,0.051726862,532,,,,0,994861,,0,,0
20210908,56822,1864229,1563257,2,,verocel,,,184,0.064283759,0.053905414,533,,,,0,1076968,,0,,0
20210909,101616,1864229,1667192,2,,verocel,,,185,0.064283759,0.057489379,534,,,,0,1166168,,0,,0
20210910,32924,1864229,1703881,2,,verocel,,,186,0.064283759,0.058754517,535,,,,0,1252678,,0,,0
20210911,14271,1864229,1719139,2,,verocel,,,187,0.064283759,0.059280655,536,,,,0,1327040,,0,,0
20211008,11354,1973519,1795947,2,,Astrazeneca,,,214,0.068052379,0.061929207,563,,,,0,1385098,,0,,0
20211009,4552,1973519,1786313,2,,Astrazeneca,,,215,0.068052379,0.061597,564,,,,0,1418999,,0,,0
20211010,3242,1973519,1789673,2,,Astrazeneca,,,216,0.068052379,0.061712862,565,,,,0,1500079,,0,,0
20211011,2788,1973519,1792979,2,,Astrazeneca,,,217,0.068052379,0.061826862,566,,,,0,1563257,,0,,0
20211012,5856,1973519,1799424,2,,Astrazeneca,,,218,0.068052379,0.062049103,567,,,,0,1667192,,0,,0
20211013,4736,1973519,1808510,2,,Astrazeneca,,,219,0.068052379,0.062362414,568,,,,0,1703881,,0,,0
20211014,4130,1973519,1816526,2,,Astrazeneca,,,220,0.068052379,0.062638828,569,,,,0,1719139,,0,,0
20211015,2423,1973519,1818884,2,,Astrazeneca,,,221,0.068052379,0.062720138,570,,,,0,0,,0,,0
20211016,2101,1973519,1821198,2,,Astrazeneca,,,222,0.068052379,0.062799931,571,,,,0,0,,0,,0
20211017,2019,1973519,1823494,2,,Astrazeneca,,,223,0.068052379,0.062879103,572,,,,0,0,,0,,0
20211018,2138,1973519,1825866,2,,Astrazeneca,,,224,0.068052379,0.062960897,573,,,,0,0,,0,,0
20211019,2736,1973519,1828602,2,,Astrazeneca,,,225,0.068052379,0.063055241,574,,,,0,0,,0,,0
20211020,2398,1973519,1831000,2,2,Astrazeneca,,,226,0.068052379,0.063137931,575,,,,0,0,,0,,0
20211021,25420,1998519,1841389,1,3,,,,227,0.068914448,0.063496172,576,,,,0,0,,0,,0
20211022,67218,2069300,1854013,1,3,,,,228,0.071355172,0.063931483,577,,,,0,0,,0,,0
20211023,73962,2181399,1880936,1,3,,,,229,0.075220655,0.064859862,578,,,,0,0,,0,,0
20211024,98452,2288769,1918756,1,3,,,,230,0.078923069,0.066164,579,,,,0,0,,0,,0
20211025,49765,2367528,1937898,1,3,,,,231,0.081638897,0.066824069,580,,,,0,0,,0,,0
20211026,158521,2542164,1986618,1,3,,,,232,0.087660828,0.068504069,581,,,,0,0,,0,,0
20211027,183338,2734512,2046781,1,3,,,,233,0.094293517,0.070578655,582,,,,0,0,,0,,0
