date,Goodnessfit,daily,confirmed_cases,active_cases,Recovered,total_deaths,total_tests,one dose of vacination,fully_vaccinated,total_vaccinations,,confirmed_cases_log,active_cases_log,discharged_cases_log,total_deaths_log,one dose of vacination_log,fully_vaccinated_log,Days,Fration_one dose of vacination,Fration_fully_vaccinated,Fration_total_vaccinations
2/28/2020,1,0,1,1,0,0,,,,,,0,0,,,,,,0,0,0
2/29/2020,1,1,1,1,0,0,,,,,,0,0,,,,,,0,0,0
3/1/2020,1,2,1,1,0,0,,,,,,0,0,,,,,,0,0,0
3/2/2020,1,3,1,1,0,0,,,,,,0,0,,,,,,0,0,0
3/3/2020,1,4,1,1,0,0,,,,,,0,0,,,,,,0,0,0
3/4/2020,1,5,1,1,0,0,,,,,,0,0,,,,,,0,0,0
3/5/2020,1,6,1,1,0,0,,,,,,0,0,,,,,,0,0,0
3/6/2020,1,7,1,1,0,0,,,,,,0,0,,,,,,0,0,0
3/7/2020,1,8,1,1,0,0,,,,,,0,0,,,,,,0,0,0
3/8/2020,1,9,1,1,0,0,,,,,,0,0,,,,,,0,0,0
3/9/2020,1,10,2,2,0,0,,,,,,0.301029996,0.301029996,,,,,,0,0,0
3/10/2020,1,11,2,2,0,0,,,,,,0.301029996,0.301029996,,,,,,0,0,0
3/11/2020,1,12,2,2,0,0,,,,,,0.301029996,0.301029996,,,,,,0,0,0
3/12/2020,1,13,2,2,0,0,,,,,,0.301029996,0.301029996,,,,,,0,0,0
3/13/2020,1,14,2,2,0,0,,,,,,0.301029996,0.301029996,,,,,,0,0,0
3/14/2020,1,15,2,2,0,0,,,,,,0.301029996,0.301029996,,,,,,0,0,0
3/15/2020,1,16,2,2,0,0,,,,,,0.301029996,0.301029996,,,,,,0,0,0
3/16/2020,1,17,2,2,0,0,,,,,,0.301029996,0.301029996,,,,,,0,0,0
3/17/2020,1,18,3,3,0,0,,,,,,0.477121255,0.477121255,,,,,,0,0,0
3/18/2020,1,19,8,8,0,0,,,,,,0.903089987,0.903089987,,,,,,0,0,0
3/19/2020,1,20,8,8,0,0,,,,,,0.903089987,0.903089987,,,,,,0,0,0
3/20/2020,1,21,12,12,0,0,,,,,,1.079181246,1.079181246,,,,,,0,0,0
3/21/2020,1,22,22,22,0,0,,,,,,1.342422681,1.342422681,,,,,,0,0,0
3/22/2020,1,23,30,30,0,0,,,,,,1.477121255,1.477121255,,,,,,0,0,0
3/23/2020,1,24,40,39,0,1,,,,,,1.602059991,1.591064607,,0,,,,0,0,0
3/24/2020,1,25,44,43,0,1,,,,,,1.643452676,1.633468456,,0,,,,0,0,0
