Date,Total_doses,new_doses,Vaccinated_pop,Fully_vaccinated_pop,%pop,good,Goodness_vaacine
9/3/2021,0,0,0,0,0,0,0
10/3/2021,2806,2806,2806,0,0,0,0
11/3/2021,5612,2806,5612,0,0,0,0
12/3/2021,8418,2806,8418,0,0,0,0
13/3/2021,11224,2806,11224,0,0,0,0
14/3/2021,14030,2806,14030,0,0,0,0
15/3/2021,16836,2806,16836,0,0,0,0
16/3/2021,19642,2806,19642,0,0,0,0
17/3/2021,22448,2806,22448,0,0,0,0
18/3/2021,25254,2806,25254,0,0,0,0
19/3/2021,28060,2806,28060,0,0,0,0
20/3/2021,30866,2806,30866,0,0,0,0
21/3/2021,33672,2806,33672,0,0,0,0
22/3/2021,36478,2806,36478,0,0,0,0
23/3/2021,39284,2806,39284,0,0,0,0
24/3/2021,42092,2808,42092,0,0,0,0
25/3/2021,44802,2710,44802,0,0,0,0
26/3/2021,47512,2710,47512,0,0,0,0
27/3/2021,50222,2710,50222,0,0,0,0
28/3/2021,52932,2710,52932,0,0,0,0
29/3/2021,55642,2710,55642,0,0,0,0
30/3/2021,58352,2710,58352,0,0,0,0
31/3/2021,61062,2710,61062,0,0,0,0
1/4/2021,63772,2710,63772,0,0,0,0
2/4/2021,66482,2710,66482,0,0,0,0
3/4/2021,69192,2710,69192,0,0,0,0
4/4/2021,71902,2710,71902,0,0,0,0
5/4/2021,74612,2710,74612,0,0,0,0
6/4/2021,77322,2710,77322,0,0,0,0
7/4/2021,8032,2710,80032,0,0,0,0
8/4/2021,82753,2721,82753,0,0,0,0
9/4/2021,86202,3449,86202,0,0,0,0
10/4/2021,89651,3449,89651,0,0,0,0
11/4/2021,93100,3449,93100,0,0,0,0
12/4/2021,96549,3449,96549,0,0,0,0
13/4/2021,100000,3441,100000,0,0,0,0
14/4/2021,115000,15000,115000,0,0,0,0
15/4/2021,130000,15000,130000,0,0,0,0
16/4/2021,145000,15000,145000,0,0,0,0
17/4/2021,160000,15000,160000,0,0,0,0
18/4/2021,163453,3453,162517,0,0,0,0
19/4/2021,166906,3453,165034,0,0,0,0
20/4/2021,170359,3453,167551,0,0,0,0
