DATE,DAY,CONFRIMED CASES,CUMULATIVE CONFIRMED CASES,RECOVERIES,CUMMULATIVE RECOVERIES,VACCINATED DOSE 1,CUMULATIVE VACCINATED DOSE 1,VACCINATED DOSE 2,CUMULATIVE VACCINATED DOSE 2 / Fully Vaccinated,BOOSTER,ACTIVE CASES,Deaths,FRATION CUMULATIVE VACCINATED DOSE 2 / Fully Vaccinated,Days1,FRATION CUMULATIVE VACCINATED DOSE 1,CUMULATIVE VACCINATED DOSE 2 / Fully Vaccinated1,FRATION CUMULATIVE VACCINATED DOSE 2 / Fully Vaccinated11
4/15/2021,1,143,90532,42,88283,106,106,0,0,,1019,1230,0,376,6.06E-06,0,0
4/16/2021,2,218,90750,131,88414,104,210,0,0,,1103,1233,0,377,0.000012,0,0
4/17/2021,3,94,90844,141,88555,141,706,0,0,,1055,1234,0,378,4.03E-05,0,0
18-Apr,4,74,90918,163,88718,610,1316,0,0,,965,1235,0,379,0.0000752,0,0
4/19/2021,5,24,90942,142,88860,798,2114,0,0,,846,1236,0,380,0.0001208,0,0
4/20/2021,6,100,91042,40,88900,1277,3391,0,0,,906,1236,0,381,0.000193771,0,0
4/21/2021,7,77,91119,56,88956,1220,4611,0,0,,925,1238,0,382,0.000263486,0,0
4/22/2021,8,70,91189,161,89117,1884,6495,0,0,,832,1240,0,383,0.000371143,0,0
4/23/2021,9,62,91251,139,89256,2511,9006,0,0,,750,1245,0,384,0.000514629,0,0
4/24/2021,10,66,91317,147,89403,3537,12543,0,0,,669,1245,0,385,0.000716743,0,0
4/25/2021,11,41,91358,171,91358,1469,14012,0,0,,-1246,1246,0,386,0.000800686,0,0
4/26/2021,12,,,,,,,,,,-1248,1248,0,387,0,0,0
4/27/2021,13,40,91418,39,89717,3059,17851,,,,452,1249,0,388,0.001020057,0,0
4/28/2021,14,66,91484,26,89743,4068,21919,0,0,,492,1249,0,389,0.001252514,0,0
4/29/2021,15,49,91533,109,89852,4661,26580,,,,431,1250,0,390,0.001518857,0,0
4/30/2021,16,53,91586,81,89933,5454,32034,0,0,,402,1251,0,391,0.001830514,0,0
5/1/2021,17,84,91670,79,90012,7266,39300,0,0,,407,1251,0,392,0.002245714,0,0
5/2/2021,18,23,91693,70,90082,3847,43147,0,0,,358,1253,0,393,0.002465543,0,0
5/3/2021,19,29,91722,48,90130,2593,45740,0,0,,339,1253,0,394,0.002613714,0,0
5/4/2021,20,82,91804,36,90166,6044,51784,0,0,,384,1254,0,395,0.002959086,0,0
5/5/2021,21,45,91849,32,90198,7198,58982,0,0,,396,1255,0,396,0.0033704,0,0
5/6/2021,22,97,91946,66,90264,5029,64011,0,0,,426,1256,0,397,0.003657771,0,0
5/7/2021,23,58,92004,52,90316,7550,71561,0,0,,432,1256,0,398,0.0040892,0,0
5/8/2021,24,53,92057,47,90363,5787,77348,0,0,,437,1257,0,399,0.004419886,0,0
5/9/2021,25,,,,,,,,,,-1257,1257,0,400,0,0,0
5/10/2021,26,,,,,,,,,,-1257,1257,0,401,0,0,0
5/11/2021,27,40,92152,38,90539,4399,85858,0,0,,355,1258,0,402,0.004906171,0,0
5/12/2021,28,59,92211,35,90574,5058,90916,0,0,,378,1259,0,403,0.0051952,0,0
5/13/2021,29,51,92262,61,90635,4514,95430,0,0,,367,1260,0,404,0.005453143,0,0
5/14/2021,30,94,92356,64,90699,4943,100373,0,0,,397,1260,0,405,0.0057356,0,0
5/15/2021,31,,,,,,,,,,-1260,1260,0,406,0,0,0
5/16/2021,32,,,,,,,,,,-1260,1260,0,407,0,0,0
5/17/2021,33,,,,,,,,,,-1261,1261,0,408,0,0,0
5/18/2021,34,60,92520,30,90892,5442,120209,0,0,,365,1263,0,409,0.006869086,0,0
5/19/2021,35,,,,,,,,,,-1263,1263,0,410,0,0,0
5/20/2021,36,,,,,,,,,,-1265,1265,0,411,0,0,0
5/21/2021,37,166,92920,64,91019,2543,128834,1107,1107,,635,1266,6.33E-05,412,0.007361943,0,0
5/22/2021,38,,,,,,,,,,-1267,1267,0,413,0,0,0
5/23/2021,39,95,93201,54,91156,1501,133134,1868,5067,,777,1268,0.000289543,414,0.007607657,0,0
5/24/2021,40,,,,,,,,,,-1271,1271,0,415,0,0,0
5/25/2021,41,149,93428,21,91221,0,138799,0,5286,,936,1271,0.000302057,416,0.007931371,0,0
5/26/2021,42,199,93627,18,91239,0,139912,0,5286,,1115,1273,0.000302057,417,0.007994971,0,0
5/27/2021,43,,,,,,,,,,-1275,1275,0,418,0,0,0
5/28/2021,44,,,,,,,,,,-1275,1275,0,419,0,0,0
5/29/2021,45,,,,,,,,,,-1276,1276,0,420,0,0,0
5/30/2021,46,,,,,,,,,,-1278,1278,0,421,0,0,0
5/31/2021,47,,,,,,,,,,-1281,1281,0,422,0,0,0
6/1/2021,48,558,95821,83,92039,0,141934,0,5286,,2500,1282,0.000302057,423,0.008110514,0,0
6/2/2021,49,,,,,,,,,,-1284,1284,0,424,0,0,0
6/3/2021,50,825,97388,212,92320,0,141829,0,5286,,3780,1288,0.000302057,425,0.008104514,0,0
6/4/2021,51,988,98376,194,92514,0,141829,0,5286,,4565,1297,0.000302057,426,0.008104514,0,0
6/5/2021,52,1164,99540,522,93036,0,141829,0,5286,,5201,1303,0.000302057,427,0.008104514,0,0
6/6/2021,53,738,100278,338,93374,0,141829,0,5286,,5596,1308,0.000302057,428,0.008104514,0,0
6/7/2021,54,487,100765,320,93694,0,141829,0,5286,,5756,1315,0.000302057,429,0.008104514,0,0
6/8/2021,55,1231,101996,298,93992,0,141829,0,5286,,6683,1321,0.000302057,430,0.008104514,0,0
6/9/2021,56,1767,103763,197,94189,0,141829,0,5286,,8250,1324,0.000302057,431,0.008104514,0,0
6/10/2021,57,,,,,0,141829,0,5286,,-1332,1332,0.000302057,432,0.008104514,0,0
6/11/2021,58,2065,107974,679,95674,0,141829,0,5286,,10952,1348,0.000302057,433,0.008104514,0,0
6/12/2021,59,2358,110332,972,96646,0,141829,0,5286,,12321,1365,0.000302057,434,0.008104514,0,0
6/13/2021,60,1414,111746,1110,97756,0,141829,0,5286,,12601,1389,0.000302057,435,0.008104514,0,0
6/14/2021,61,,,,,,,,,,-1416,1416,0,436,0,0,0
6/15/2021,62,2690,115824,901,99895,260,142089,929,5215,,14485,1444,0.000298,437,0.008119371,0,0
6/16/2021,63,,,,,,,,,,-1492,1492,0,438,0,0,0
6/17/2021,64,,,,,,,,,,-1525,1525,0,439,0,0,0
6/18/2021,65,2913,125157,1999,103884,0,142089,0,6215,,19719,1554,0.000355143,440,0.008119371,0,0
6/19/2021,66,1816,126973,2076,105960,0,142089,0,6215,,19418,1595,0.000355143,441,0.008119371,0,0
6/20/2021,67,2060,129033,2342,108960,0,142089,0,6215,,18429,1644,0.000355143,442,0.008119371,0,0
6/21/2021,68,1598,130631,2148,110450,0,142089,0,6215,,18490,1691,0.000355143,443,0.008119371,0,0
6/22/2021,69,3028,133659,1394,111844,0,142089,0,6215,,20071,1744,0.000355143,444,0.008119371,0,0
6/23/2021,70,,,,,,,,,,-1794,1794,0,445,0,0,0
6/24/2021,71,,,,,,,,,,-1855,1855,0,446,0,0,0
6/25/2021,72,,,,,,,,,,-1915,1915,0,447,0,0,0
6/26/2021,73,,,,,,,,,,-1967,1967,0,448,0,0,0
6/27/2021,74,2537,148568,2617,124582,36,142125,693,9080,,21964,2022,0.000518857,449,0.008121429,0,0
6/28/2021,75,1093,149661,1859,126441,0,142125,456,9536,,21129,2091,0.000544914,450,0.008121429,0,0
6/29/2021,76,,,,,,,,,,-2138,2138,0,451,0,0,0
6/30/2021,77,,,,,,,,,,-2199,2199,0,452,0,0,0
7/1/2021,78,2884,157832,2627,134419,0,142125,1765,14459,,21142,2271,0.000826229,453,0.008121429,0,0
7/2/2021,79,2781,160613,3400,137819,0,142125,2202,16661,,20453,2341,0.000952057,454,0.008121429,0,0
7/3/2021,80,1874,162487,3061,140880,0,142125,3597,20258,,19210,2397,0.0011576,455,0.008121429,0,0
7/4/2021,81,1795,164282,2248,143128,0,142125,1987,22245,,18711,2443,0.001271143,456,0.008121429,0,0
7/5/2021,82,1231,165513,2780,145908,121,142246,1054,23299,,17113,2492,0.001331371,457,0.008128343,0,0
7/6/2021,83,1619,167132,1843,147751,0,142246,2023,25322,,16822,2559,0.001446971,458,0.008128343,0,0
7/7/2021,84,1871,169003,1670,149421,0,142246,2354,27676,,16964,2618,0.001581486,459,0.008128343,0,0
7/8/2021,85,1453,170456,2682,152103,0,142246,1316,28992,,15681,2672,0.001656686,460,0.008128343,0,0
7/9/2021,86,1949,172405,2673,154776,0,142246,4006,32998,,14893,2736,0.0018856,461,0.008128343,0,0
7/10/2021,87,2384,174789,2713,157489,2259,144505,3716,36714,,14525,2775,0.002097943,462,0.008257429,0,0
7/11/2021,88,940,175729,2726,160215,5704,150209,4349,41063,,12692,2822,0.002346457,463,0.008583371,0,0
7/12/2021,89,1013,176742,1889,162104,5058,155267,1504,42567,,11636,2867,0.0024324,464,0.0088724,0,0
7/13/2021,90,2006,178748,1442,163546,9284,164551,3874,46441,,12163,2904,0.002653771,465,0.009402914,0,0
7/14/2021,91,1801,180549,1243,164789,3295,167846,1497,47938,,12676,2949,0.002739314,466,0.0095912,0,0
7/15/2021,92,1580,182129,1464,166253,21610,189456,6424,54362,,12750,2991,0.0031064,467,0.010826057,0,0
7/16/2021,93,1215,183344,1664,167917,13282,202738,3782,58144,,12270,3022,0.003322514,468,0.011585029,0,0
7/17/2021,94,1328,184672,1268,169185,10547,213285,3824,61968,,12300,3052,0.003541029,469,0.012187714,0,0
7/18/2021,95,977,185649,2379,171564,6230,219515,2134,64102,,11001,3084,0.003662971,470,0.012543714,0,0
7/19/2021,96,630,186279,1621,173185,4948,224463,1378,65480,,9981,3113,0.003741714,471,0.012826457,0,0
7/20/2021,97,1323,187602,1408,174593,7943,232406,3309,68789,,9871,3138,0.0039308,472,0.013280343,0,0
7/21/2021,98,971,188573,701,175294,7665,240071,3614,72403,,10117,3162,0.004137314,473,0.013718343,0,0
7/22/2021,99,1158,189731,1990,177284,1990,242061,6525,78928,,9251,3196,0.004510171,474,0.013832057,0,0
7/23/2021,100,884,190615,1752,179036,1752,243813,5243,84171,,8358,3221,0.004809771,475,0.013932171,0,0
7/24/2021,101,912,191527,1364,180400,1364,245177,4263,88434,,7877,3250,0.005053371,476,0.014010114,0,0
7/25/2021,102,544,192071,1103,181503,1103,246280,5236,93670,,7296,3272,0.005352571,477,0.014073143,0,0
7/26/2021,103,245,192316,1027,182530,1027,247307,4967,98637,,6491,3295,0.0056364,478,0.014131829,0,0
7/27/2021,104,640,192956,869,183399,869,248176,3500,102137,,6241,3316,0.0058364,479,0.014181486,0,0
7/28/2021,105,476,193432,423,183822,423,248599,12794,114931,,6272,3338,0.006567486,480,0.014205657,0,0
7/29/2021,106,708,194140,1253,185075,1253,249852,925,115856,,5710,3355,0.006620343,481,0.014277257,0,0
7/30/2021,107,956,195096,1001,186076,1001,250853,629,116485,,5644,3376,0.006656286,482,0.014334457,0,0
7/31/2021,108,720,195816,1025,187101,1025,251878,590,117075,,5326,3389,0.00669,483,0.014393029,0,0
8/1/2021,109,477,196293,870,187971,588,252466,4581,121656,,4916,3406,0.006951771,484,0.014426629,0,0
8/2/2021,110,197,196490,844,188815,691,253157,1537,123193,,4263,3412,0.0070396,485,0.014466114,0,0
8/3/2021,111,633,197123,391,189206,988,254145,2473,125666,,4495,3422,0.007180914,486,0.014522571,0,0
8/4/2021,112,668,197791,317,189523,2515,256660,7317,132983,,4838,3430,0.007599029,487,0.014666286,0,0
8/5/2021,113,664,198455,621,190144,3440,260100,7914,140897,,4864,3447,0.008051257,488,0.014862857,0,0
8/6/2021,114,680,199135,885,191029,4251,264351,8118,149015,,4647,3459,0.008515143,489,0.015105771,0,0
8/7/2021,115,527,199662,672,191701,5049,269400,7263,156278,,4487,3474,0.008930171,490,0.015394286,0,0
8/8/2021,116,387,200049,643,192344,253,269653,3373,159651,,4221,3484,0.009122914,491,0.015408743,0,0
8/9/2021,117,152,200201,572,192916,517,270170,2011,161662,,3794,3491,0.009237829,492,0.015438286,0,0
8/10/2021,118,629,200830,285,193201,974,271144,6138,167800,,4130,3499,0.009588571,493,0.015493943,0,0
8/11/2021,119,512,201342,211,193412,1461,272605,6249,174049,,4421,3509,0.009945657,494,0.015577429,0,0
8/12/2021,120,428,201770,457,193869,481,273086,2557,176606,,4389,3512,0.010091771,495,0.015604914,0,0
8/13/2021,121,97,201867,669,194538,1563,274649,2628,179234,,3814,3515,0.010241943,496,0.015694229,0,0
8/14/2021,122,211,202078,697,195235,118,274767,1719,180953,,3322,3521,0.010340171,497,0.015700971,0,0
8/15/2021,123,183,202261,507,195742,136,274903,1731,182684,,2990,3529,0.010439086,498,0.015708743,0,0
8/16/2021,124,168,202429,475,196217,206,275109,1539,184223,,2674,3538,0.010527029,499,0.015720514,0,0
8/17/2021,125,358,202787,372,196589,192,275301,3118,187341,,2648,3550,0.0107052,500,0.015731486,0,0
8/18/2021,126,382,203169,212,196801,250,275551,4430,191771,,2812,3556,0.010958343,501,0.015745771,0,0
8/19/2021,127,384,203553,542,197343,231,275782,4363,196134,,2646,3564,0.011207657,502,0.015758971,0,0
8/20/2021,128,425,203978,531,197874,275,276057,5775,201909,,2535,3569,0.011537657,503,0.015774686,0,0
8/21/2021,129,359,204337,362,198236,236,276293,5502,207411,,2528,3573,0.011852057,504,0.015788171,0,0
8/22/2021,130,212,204549,188,198424,60,276353,1566,208977,,2551,3574,0.011941543,505,0.0157916,0,0
8/23/2021,131,102,204651,222,198646,222,276575,4256,213233,,2427,3578,0.012184743,506,0.015804286,0,0
8/24/2021,132,326,204977,176,198822,63,276638,1478,214711,,2572,3583,0.0122692,507,0.015807886,0,0
8/25/2021,133,130,205107,157,198979,228,276866,3995,218706,,2542,3586,0.012497486,508,0.015820914,0,0
8/26/2021,134,208,205315,320,199299,117,276983,4614,223320,,2429,3587,0.012761143,509,0.0158276,0,0
8/27/2021,135,389,205704,425,199724,53,277036,4042,227362,,2393,3587,0.012992114,510,0.015830629,0,0
8/28/2021,136,189,205893,457,200181,102,277138,1802,229164,,2121,3591,0.013095086,511,0.015836457,0,0
8/29/2021,137,158,206051,346,200527,78,277216,1694,230858,,1928,3596,0.013191886,512,0.015840914,0,0
8/30/2021,138,94,206145,290,200817,180,277396,4654,235512,,1729,3599,0.013457829,513,0.0158512,0,0
8/31/2021,139,182,206327,172,200989,,277396,,235512,,1736,3602,0.013457829,514,0.0158512,0,0
9/1/2021,140,195,206522,103,201092,133,277529,5369,240881,,1825,3605,0.013764629,515,0.0158588,0,0
9/2/2021,141,183,206705,280,201372,88,277617,3104,243985,,1725,3608,0.013942,516,0.015863829,0,0
9/3/2021,142,179,206884,136,201508,98,277715,3908,247893,,1765,3611,0.014165314,517,0.015869429,0,0
9/4/2021,143,144,207028,338,201846,147,277862,3400,251293,,1568,3614,0.0143596,518,0.015877829,0,0
9/5/2021,144,86,207114,222,202068,43,277905,1765,253058,,1430,3616,0.014460457,519,0.015880286,0,0
9/6/2021,145,53,207167,189,202257,97,278002,1030,254088,,1293,3617,0.014519314,520,0.015885829,0,0
9/7/2021,146,127,207294,108,202365,90,278092,3561,257649,,1309,3620,0.0147228,521,0.015890971,0,0
9/8/2021,147,148,207442,86,202451,193,278285,3220,260869,,1369,3622,0.0149068,522,0.015902,0,0
9/9/2021,148,118,207560,214,202665,134,278419,3669,264538,,1272,3623,0.015116457,523,0.015909657,0,0
9/10/2021,149,136,207696,186,202851,178,278597,3990,268528,,1084,3626,0.015344457,524,0.015919829,0,0
9/11/2021,150,140,207836,165,203016,132,278729,3711,272239,,1056,3629,0.015556514,525,0.015927371,0,0
9/12/2021,151,102,207938,191,203207,62,278791,1610,273849,,965,3631,0.015648514,526,0.015930914,0,0
9/13/2021,152,22,207960,124,203331,15,278806,1554,275403,,861,3633,0.015737314,527,0.015931771,0,0
9/14/2021,153,89,208049,79,203410,161,278967,4655,280058,,869,3635,0.016003314,528,0.015940971,0,0
9/15/2021,154,112,208161,39,203449,231,279198,4955,285013,,941,3636,0.016286457,529,0.015954171,0,0
9/16/2021,155,106,208267,124,203573,290,279488,4844,289857,,923,3636,0.016563257,530,0.015970743,0,0
9/17/2021,156,86,208353,145,203718,246,279734,4926,294783,,863,3637,0.016844743,531,0.0159848,0,0
9/18/2021,157,69,208422,145,203863,370,280104,5961,300744,,786,3638,0.017185371,532,0.016005943,0,0
9/19/2021,158,47,208469,163,204026,62,280166,2882,303626,,670,3638,0.017350057,533,0.016009486,0,0
9/20/2021,159,33,208502,102,204128,117,280283,1928,305554,,600,3639,0.017460229,534,0.016016171,0,0
9/21/2021,160,97,208599,60,204188,425,280708,8182,313736,,637,3639,0.017927771,535,0.016040457,0,0
9/22/2021,161,77,208676,27,204215,512,281220,8150,321886,,638,3639,0.018393486,536,0.016069714,0,0
9/23/2021,162,39,208715,92,204307,473,281693,7871,329757,,632,3641,0.018843257,537,0.016096743,0,0
9/24/2021,163,51,208766,117,204424,987,282680,7379,337136,,514,3642,0.019264914,538,0.016153143,0,0
9/25/2021,164,28,208794,75,204499,343,283023,2976,340112,,466,3645,0.019434971,539,0.016172743,0,0
9/26/2021,165,10,208804,67,204566,318,283341,2934,343046,,408,3646,0.019602629,540,0.016190914,0,0
9/27/2021,166,45,208849,35,204601,812,284153,7990,351036,,418,3647,0.0200592,541,0.016237314,0,0
9/28/2021,167,90,208939,29,204630,1520,285673,7476,358512,,478,3647,0.0204864,542,0.016324171,0,0
9/29/2021,168,44,208983,107,204737,2397,288070,8793,367305,,415,3648,0.020988857,543,0.016461143,0,0
9/30/2021,169,63,209046,111,204848,942,289012,7878,375183,,583,3648,0.021439029,544,0.016514971,0,0
10/1/2021,170,68,209114,174,205022,1934,290946,2990,378173,,308,3649,0.021609886,545,0.016625486,0,0
10/2/2021,171,28,209142,15,205037,1649,292595,6396,384569,,321,3649,0.021975371,546,0.016719714,0,0
10/3/2021,172,21,209163,15,205052,1574,294169,3526,388095,,327,3649,0.022176857,547,0.016809657,0,0
10/4/2021,173,9,209172,24,205076,1053,295222,2669,390764,,312,3649,0.022329371,548,0.016869829,0,0
10/5/2021,174,27,209199,22,205098,1162,296384,5865,396629,,451,3650,0.022664514,549,0.016936229,0,0
10/6/2021,175,49,209248,7,205105,1535,297919,6519,403148,,356,3652,0.023037029,550,0.017023943,0,0
10/7/2021,176,35,209283,91,205196,2285,300204,5862,409010,,299,3653,0.023372,551,0.017154514,0,0
10/8/2021,177,32,209315,36,205232,2039,302243,5534,414544,,295,3653,0.023688229,552,0.017271029,0,0
